Insurer,RP,SP,ANP,Market Share
AIA (HK),0,0,0,0
AIA Everest,50,1250043,125054.3,0.001210999
AIA International,20432567,4530370,20885604,0.202251691
American Family Life,0,0,0,0
Asia Insurance,0,0,0,0
Generali,0,0,0,0
AXA China (Bermuda),3728610,1940968,3922706.8,0.037986648
AXA China (HK),0,258488,25848.8,0.000250314
AXA Life,0,0,0,0
AXA Wealth Mgt (HK),7039,7608,7799.8,7.55316E-05
Blue Cross,1,0,1,9.68378E-09
Blue,669022,4631,669485.1,0.00648315
BOC LIFE,110242,10272497,1137491.7,0.011015225
Bowtie Life,0,52420,5242,5.07624E-05
Canada Life Assurance,0,0,0,0
China Life,0,14976924,1497692.4,0.014503331
CPIC Life (HK),0,0,0,0
China Re HK,0,0,0,0
TPLHK,0,5860483,586048.3,0.005675166
Chubb Life,272104,242269,296330.9,0.002869605
CIGNA Worldwide Life,7221,43380,11559,0.000111935
Desjardins Financial Security,0,0,0,0
Friends Provident Int'l,0,0,0,0
FTLife,3651807,1709798,3822786.8,0.037019044
Fubon Life Hong Kong,0,1316382,131638.2,0.001274756
FWD Life Assurance,0,0,0,0
FWD Life (Bermuda),16818582,1488864,16967468.4,0.16430931
FWD Life (HK),0,29,2.9,2.8083E-08
GenRe,0,0,0,0
Generali Life (HK),102015,128176,114832.6,0.001112014
Hang Seng Insurance,3710122,2839741,3994096.1,0.038677966
Hannover Re,0,0,0,0
Heng An Standard Life Asia,143915,1496,144064.6,0.001395091
HKMC Annuity,3003443,0,3003443,0.029084695
Hong Kong Life,629928,505694,680497.4,0.00658979
HSBC Insurance,0,0,0,0
HSBC Life,1983801,13727720,3356573,0.03250433
Liberty Int'l,0,873,87.3,8.45394E-07
Manulife (Int'l),27177089,3212041,27498293.1,0.266287548
Massachusetts Mutual,0,0,0,0
Munich Re,0,0,0,0
Old Mutual Life,0,0,0,0
Pacific Life,0,1237,123.7,1.19788E-06
PartnerRe Europe,0,0,0,0
Peak Re,0,0,0,0
PLL,0,0,0,0
Principal,0,0,0,0
Prudential (HK) Life,6270093,3647868,6634879.8,0.064250747
Quilter International,774674,0,774674,0.007501776
RGA Re,0,0,0,0
RL360¢X,0,0,0,0
RL360 Services,0,0,0,0
SCOR Re,0,0,0,0
SCOTTISH WIDOWS LIMITED,0,0,0,0
Sincere Life,0,0,0,0
SJPI(HK)L,431159,0,431159,0.004175251
Sun Life Hong Kong,5375325,1054497,5480774.7,0.053074642
Swiss Re (Asia),0,0,0,0
TLIC,1623,1598,1782.8,1.72643E-05
TPRe,0,0,0,0
Transamerica Life (Bermuda),84065,6000,84665,0.000819878
Utmost Worldwide,0,0,0,0
Well Link Life,167678,94800,177158,0.00171556
YF LIFE,576498,921598,668657.8,0.006475138
ZA Insure,118350,14103,119760.3,0.001159733
Zurich Assurance,0,0,0,0
Zurich International,0,8656,865.6,8.38228E-06
Zurich Life Insurance (Hong Kong),0,62629,6262.9,6.06486E-05
